1988753,37623
954692,33748
2014469,28174
735272,28056
738063,27954
2025942,27104
1869933,24305
2245774,23359
637549,23325
1619555,23178
2025938,23113
1608832,22896
1711830,22631
869197,22024
2118443,20973
814293,20665
1059388,20544
1026729,20533
781124,20187
949011,20181
1018869,19317
1642274,18964
848345,18473
1988748,18468
979155,18336
1492011,18151
816600,18109
130754,17985
1570203,17806
780914,17754
2201460,17352
850263,17184
1762724,17029
1627148,16544
1474956,16118
2222070,15801
1091249,15527
1561394,15171
1556336,15094
2201553,14942
817174,14671
2014470,14651
1655981,14610
1627157,14563
1264070,14443
2514777,14436
1969946,14342
1610745,14208
746737,14167
1149713,14140
1092090,13964
1612453,13804
1474946,13739
2347578,13698
1149638,13640
519080,13366
490154,13160
2025941,12999
638493,12947
574471,12840
1595191,12713
136400,12674
1262832,12504
953394,12463
1264972,12385
795627,12353
2044368,12330
2129143,12316
799913,12093
2131813,12063
2102287,11992
2102292,11951
1612454,11924
2060305,11911
1067123,11896
1626537,11893
1764213,11893
1786960,11792
2330357,11742
1654579,11669
1619564,11635
1033154,11605
787430,11517
2684855,11442
1763013,11373
2444149,11238
1571309,11226
1932649,11118
808848,10902
930249,10869
1897567,10853
1059894,10813
2090844,10788
1893461,10781
1857519,10763
1925194,10755
1136506,10720
969681,10665
1848919,10579
932185,10473
1298486,10433
1962182,10415
1401254,10371
2246465,10348
2058788,10325
1621068,10323
2060302,10296
1613232,10264
2444148,10222
690778,10193
1149303,10079
2201876,10035
2118445,10033
2237466,9996
2347052,9927
801158,9894
1264763,9753
1071242,9738
1263997,9720
2486881,9667
1897577,9633
362949,9619
1675832,9578
155404,9578
2237467,9523
1860433,9459
1675842,9437
2964222,9231
2336704,9228
2223259,9214
760488,9186
1970829,9162
803402,9156
676172,9141
323875,9109
2514776,9077
1119026,9071
1623092,9056
1844417,9036
1762728,9006
1749322,9003
953586,8998
722909,8955
1843653,8945
713442,8916
1917158,8904
916631,8878
2480902,8862
2596018,8839
2404778,8817
217253,8771
1614054,8765
2245768,8731
2469345,8730
1262434,8717
1153219,8653
283593,8618
1675834,8598
443272,8547
827488,8513
853625,8412
1153237,8377
1610022,8325
1056207,8311
956502,8301
328472,8294
1065224,8293
1269345,8286
2204234,8269
764517,8250
290581,8231
2164997,8191
2034983,8171
449484,8167
2659911,8158
1621175,8138
2165271,8110
785097,8098
1055147,8069
877335,8055
1298488,8019
2245783,7990
875557,7984
974142,7936
713867,7920
1988750,7833
1955170,7820
1053520,7813
611245,7795
983680,7789
445437,7734
1610994,7683
1962161,7655
933875,7650
2860521,7611
2223144,7607
714175,7565
1643270,7539
1373950,7534
898575,7523
2170029,7508
2245766,7504
2397136,7472
1725588,7466
1816243,7458
1872396,7394
221950,7391
909032,7362
1492008,7343
796721,7342
1869935,7310
684101,7267
1023307,7247
2250747,7231
1182213,7192
486513,7133
795232,7098
1829131,7089
2518847,7027
827803,7021
453042,7008
1911308,6985
1062394,6963
1849505,6909
774965,6863
828806,6862
1492012,6859
898576,6829
794670,6821
1257298,6785
2530810,6776
1968445,6775
1829038,6753
2360153,6740
1675844,6739
1153238,6657
1419403,6641
1001682,6633
2059455,6625
1255495,6526
1695382,6511
847313,6498
2102289,6483
699471,6477
1405981,6475
134621,6452
1610746,6449
1026666,6441
1810188,6441
722235,6440
1961271,6375
1555610,6374
1584210,6374
1843589,6368
932223,6366
1846237,6355
2360152,6353
712376,6353
1810150,6322
1074378,6279
2096800,6267
1483372,6217
714001,6206
357602,6194
757823,6187
966307,6178
803704,6140
888383,6128
1186443,6115
1783725,6104
2168768,6088
764441,6068
221948,6062
2349467,6028
1070639,5998
551348,5962
413446,5958
1180926,5924
1032126,5922
2518845,5848
323769,5838
1514898,5830
1701404,5828
82962,5803
917129,5794
741572,5764
1846226,5758
1797549,5750
2410948,5749
2283641,5747
232673,5743
696783,5741
2567509,5732
696225,5729
647685,5700
1949535,5690
722238,5683
837569,5677
1046339,5656
1232440,5639
1180209,5618
1352342,5594
742975,5566
2129145,5557
1726474,5557
1827323,5546
2410947,5531
1396152,5531
1414507,5529
1149925,5506
1588369,5503
2468866,5491
801054,5438
2201675,5427
822651,5420
722607,5419
2861378,5395
2237470,5395
558277,5381
1956123,5346
1013310,5344
2118444,5342
1534523,5321
1343792,5299
2245777,5298
744222,5289
2226486,5287
1180151,5276
753445,5272
1262433,5266
1575142,5248
651744,5245
1860435,5222
2964220,5218
140558,5217
2150737,5215
1632673,5205
1071754,5161
1675840,5150
1702172,5126
1385396,5122
545933,5103
1988751,5091
2410945,5086
2449792,5077
297663,5075
2347579,5071
2025940,5070
2099567,5069
1851299,5068
943019,5067
1059390,5062
853926,5061
116128,5042
820737,5027
1008503,5024
2521210,5017
1805627,5015
777263,5013
951053,5007
1503470,5000
871027,4994
827932,4984
1322507,4978
2245772,4900
1010879,4898
1262009,4886
2188031,4875
1626530,4873
2069841,4872
2484994,4866
1902624,4860
1011599,4847
713935,4845
2044364,4830
2245860,4826
2449788,4817
2150733,4814
1797544,4812
199049,4805
1027542,4802
2467121,4800
2419085,4797
1405980,4792
2231267,4766
2097898,4759
2022718,4759
962979,4756
1510355,4737
374841,4733
1093245,4706
162237,4677
2023927,4674
304602,4660
2327794,4660
786018,4654
1034482,4650
1033739,4648
1587909,4616
1451992,4611
1269453,4602
1303587,4599
2161926,4585
1645698,4577
1030374,4576
965549,4571
968350,4565
1027065,4553
1484776,4547
854616,4542
1649108,4513
795810,4510
464887,4502
2461085,4498
1762729,4498
1814702,4468
211697,4462
968739,4462
832691,4449
1655726,4444
1400686,4427
1843593,4414
2587891,4412
2222887,4399
1946909,4388
1659421,4380
2237465,4371
1595303,4371
1159687,4361
1258642,4352
374834,4352
2596015,4345
1321542,4339
851811,4331
1265800,4322
606213,4322
713594,4315
378131,4313
743034,4311
569636,4288
1618411,4282
834589,4280
1892257,4278
885257,4277
1630299,4270
1797542,4251
2596017,4250
1123155,4246
2546607,4245
